PLIDAR SCAN DATA
#COUNT=1054
#Angule	Distance	Quality
356.1218 4096.0 188
356.3580 4120.0 188
356.5887 4144.0 188
356.8250 4152.0 188
357.0612 4152.0 188
357.2919 4152.0 188
357.5281 4136.0 188
357.7643 4144.0 188
357.9950 4144.0 188
358.2312 4136.0 188
358.4674 4144.0 188
358.6981 4136.0 188
358.9343 4136.0 188
359.1705 4144.0 188
359.4012 4136.0 188
359.6375 4176.0 188
359.8737 4184.0 188
0.1044 4144.0 188
0.3406 4144.0 188
0.5768 4128.0 188
0.8075 4120.0 188
1.0437 4120.0 188
1.2799 4112.0 188
1.5106 4112.0 188
1.7468 4104.0 188
1.9830 4112.0 188
2.2137 4120.0 188
2.4500 4128.0 188
2.6862 4120.0 188
2.9169 4136.0 188
3.1531 4136.0 188
3.3893 4136.0 188
3.6200 4136.0 188
3.8562 4120.0 188
4.0924 4128.0 188
4.3231 4128.0 188
4.5593 4152.0 188
4.7955 4160.0 188
5.0153 4144.0 188
5.2625 4152.0 188
5.4822 4160.0 188
5.7184 4168.0 188
5.9491 4176.0 188
6.1853 4192.0 188
6.4215 4176.0 188
6.6522 4160.0 188
6.8884 4160.0 188
7.1246 4168.0 188
7.3553 4160.0 188
7.5916 4168.0 188
7.8278 4184.0 188
8.0585 4184.0 188
8.2947 4176.0 188
8.5309 4176.0 188
8.7616 4200.0 188
8.9978 4192.0 188
9.2340 4200.0 188
9.4647 4208.0 188
9.7009 4216.0 188
9.9371 4216.0 188
10.1678 4208.0 188
10.4041 4192.0 188
10.6403 4192.0 188
10.8710 4200.0 188
11.0907 4184.0 188
11.3269 4192.0 188
11.5576 4216.0 188
11.7938 4216.0 188
12.0300 4232.0 188
12.2607 4224.0 188
12.4969 4208.0 188
12.7332 4216.0 188
12.9639 4224.0 188
13.2001 4224.0 188
13.4363 4232.0 188
13.6670 4248.0 188
13.9032 4264.0 188
14.1394 4272.0 188
14.3701 4248.0 188
14.6063 4240.0 188
14.8425 4264.0 188
15.0732 4288.0 188
15.7764 1274.0 188
16.0126 1270.0 188
16.2488 1262.0 188
16.4795 1256.0 188
16.6992 1254.0 188
16.9354 1254.0 188
17.1716 1258.0 188
17.8748 1144.0 188
18.1055 1130.0 188
18.3417 1118.0 188
18.5779 1106.0 188
18.8086 1088.0 188
19.2810 1082.0 188
20.6873 1036.0 188
20.9180 1040.0 188
21.1542 1044.0 188
21.3904 1046.0 188
21.6211 1048.0 188
21.8573 1050.0 188
22.0935 1052.0 188
22.3077 1054.0 188
22.5439 1056.0 188
22.7802 1058.0 188
23.0109 1056.0 188
23.2471 1064.0 188
23.4833 1076.0 188
23.7140 1076.0 188
23.9502 1076.0 188
24.1864 1076.0 188
24.4171 1078.0 188
24.6533 1082.0 188
24.8895 1086.0 188
25.1202 1090.0 188
25.3564 1088.0 188
25.5927 1088.0 188
25.8234 1088.0 188
26.0596 1090.0 188
26.2958 1094.0 188
26.5265 1098.0 188
26.7627 1102.0 188
26.9989 1104.0 188
27.2296 1106.0 188
27.4658 1108.0 188
27.7020 1108.0 188
27.9327 1110.0 188
28.1854 1114.0 188
28.4216 1118.0 188
28.6688 1122.0 188
28.9050 1122.0 188
29.1522 1124.0 188
29.3884 1126.0 188
29.6356 1130.0 188
29.8718 1132.0 188
30.1245 1136.0 188
30.3717 1140.0 188
30.6079 1142.0 188
30.8551 1146.0 188
31.0913 1148.0 188
31.3385 1150.0 188
31.5747 1152.0 188
31.8274 1154.0 188
32.0581 1156.0 188
32.3108 1160.0 188
32.5580 1166.0 188
32.7942 1168.0 188
33.0469 1170.0 188
33.2776 1174.0 188
33.5303 1178.0 188
33.7610 1180.0 188
34.0137 1182.0 188
34.2499 1186.0 188
34.4971 1190.0 188
34.7498 1194.0 188
34.9805 1198.0 188
35.2332 1202.0 188
35.4639 1204.0 188
35.7166 1206.0 188
35.9528 1210.0 188
36.2000 1214.0 188
36.4362 1220.0 188
36.6833 1222.0 188
36.9196 1226.0 188
37.1667 1230.0 188
37.4194 1232.0 188
37.6556 1236.0 188
37.9028 1240.0 188
38.1390 1244.0 188
38.3862 1248.0 188
38.6224 1252.0 188
38.8696 1258.0 188
39.1058 1262.0 188
39.3585 1264.0 188
39.6057 1270.0 188
39.8419 1274.0 188
40.0891 1278.0 188
40.3253 1284.0 188
40.5780 1288.0 188
40.8087 1290.0 188
41.0614 1296.0 188
41.2921 1300.0 188
41.5448 1304.0 188
41.7920 1310.0 188
42.0282 1312.0 188
42.2809 1316.0 188
42.5116 1322.0 188
42.7643 1326.0 188
42.9950 1332.0 188
43.2477 1338.0 188
43.4839 1344.0 188
43.7311 1348.0 188
44.9506 1352.0 188
45.1868 1342.0 188
45.4340 1336.0 188
45.6702 1332.0 188
45.9174 1328.0 188
46.1536 1324.0 188
46.4062 1318.0 188
46.6534 1314.0 188
47.3730 1294.0 188
47.6202 1282.0 188
47.8564 1284.0 188
48.1091 1272.0 188
48.3398 1258.0 188
48.5925 1262.0 188
48.8397 1266.0 188
49.0759 1260.0 188
49.3231 1258.0 188
49.5593 1254.0 188
49.8120 1250.0 188
50.0427 1244.0 188
50.2954 1238.0 188
50.5261 1234.0 188
50.7788 1230.0 188
51.0260 1226.0 188
51.2457 1220.0 188
51.4655 1216.0 188
51.6852 1214.0 188
51.9214 1208.0 188
52.1356 1202.0 188
52.3553 1198.0 188
52.5751 1194.0 188
52.8113 1190.0 188
53.0310 1186.0 188
53.2452 1184.0 188
53.4650 1180.0 188
53.7012 1174.0 188
53.9209 1172.0 188
54.1406 1168.0 188
54.3549 1164.0 188
54.5911 1158.0 188
54.8108 1154.0 188
55.0305 1152.0 188
55.2448 1152.0 188
55.4810 1148.0 188
55.7007 1144.0 188
55.9204 1140.0 188
56.1511 1136.0 188
56.3708 1130.0 188
56.5906 1128.0 188
56.8103 1126.0 188
57.0465 1122.0 188
57.2607 1118.0 188
57.4805 1112.0 188
57.7002 1110.0 188
57.9364 1108.0 188
58.1561 1106.0 188
58.3704 1104.0 188
58.5901 1102.0 188
58.8263 1096.0 188
59.0460 1090.0 188
59.2603 1088.0 188
59.4800 1086.0 188
59.7162 1086.0 188
59.9359 1086.0 188
60.1556 1082.0 188
60.3699 1080.0 188
60.6061 1076.0 188
60.8258 1076.0 188
61.0455 1074.0 188
61.2653 1070.0 188
