#RPLIDAR SCAN DATA
#COUNT=624
#Angule	Distance	Quality
351.7493 6064.0 188
352.1558 6088.0 188
352.5458 6104.0 188
352.9523 6032.0 188
353.3423 6000.0 188
353.7488 6016.0 188
354.1388 6000.0 188
354.5453 6008.0 188
354.9353 5992.0 188
355.3418 5960.0 188
355.7318 5952.0 188
356.1383 5952.0 188
356.5283 5936.0 188
356.9348 5912.0 188
357.3248 5904.0 188
357.7313 5904.0 188
358.1213 5848.0 188
358.5278 5824.0 188
358.9178 5848.0 188
359.3243 5824.0 188
359.7144 5848.0 188
0.1208 5856.0 188
0.5109 5792.0 188
0.9174 5768.0 188
1.3074 5760.0 188
1.7139 5752.0 188
2.1094 5768.0 188
2.5104 5760.0 188
2.9059 5792.0 188
3.3124 5848.0 188
3.7024 5808.0 188
4.1089 5728.0 188
4.4989 5784.0 188
5.7019 5800.0 188
6.4984 8072.0 188
6.8884 8056.0 188
7.2949 8040.0 188
8.0914 7800.0 188
8.4979 7888.0 188
8.8879 7888.0 188
9.2944 7872.0 188
9.6844 7864.0 188
10.0909 7896.0 188
10.4810 7912.0 188
10.8875 7896.0 188
11.2775 7872.0 188
11.6840 7880.0 188
12.0740 7912.0 188
12.4805 7912.0 188
12.8705 7920.0 188
13.2770 7928.0 188
13.6670 7968.0 188
14.0735 7968.0 188
14.4635 7936.0 188
14.8700 7904.0 188
15.2655 7872.0 188
15.6665 7872.0 188
16.0620 7888.0 188
16.4685 7912.0 188
16.8585 7920.0 188
17.2650 7912.0 188
17.6550 7944.0 188
18.0615 7968.0 188
18.4515 7952.0 188
18.8580 7944.0 188
19.2480 7984.0 188
19.6545 8000.0 188
20.0446 7976.0 188
20.4510 7928.0 188
21.2476 7984.0 188
23.6371 8088.0 188
24.8236 8144.0 188
28.4216 8288.0 188
28.8116 8392.0 188
29.2181 8400.0 188
29.6082 8440.0 188
30.0146 8472.0 188
30.4047 8488.0 188
30.8112 8520.0 188
31.2012 8576.0 188
31.6077 8592.0 188
31.9977 8624.0 188
32.4042 8656.0 188
32.7942 8672.0 188
33.2007 8728.0 188
33.5907 8768.0 188
33.9972 8760.0 188
34.3872 8808.0 188
34.7772 8856.0 188
35.1837 8864.0 188
35.5737 8912.0 188
35.9802 8920.0 188
36.3702 8936.0 188
36.7767 8976.0 188
43.9343 3300.0 188
45.1373 3308.0 188
46.3239 8032.0 188
47.1204 7368.0 188
47.5104 7352.0 188
48.7134 3992.0 188
49.1089 4012.0 188
49.5154 4036.0 188
49.9054 4040.0 188
50.3119 4060.0 188
51.1084 3952.0 188
51.4984 3948.0 188
52.2949 4168.0 188
52.7014 4168.0 188
53.4814 4184.0 188
55.0745 6472.0 188
55.8710 6448.0 188
62.2485 6360.0 188
63.0450 6256.0 188
64.2316 5968.0 188
64.6381 5896.0 188
65.0281 5792.0 188
65.4346 5760.0 188
65.8246 5824.0 188
66.2311 5848.0 188
66.6376 5768.0 188
67.0441 5752.0 188
67.4506 5744.0 188
67.8406 5680.0 188
70.2631 4136.0 188
70.6696 4088.0 188
71.4825 4096.0 188
71.8890 4248.0 188
72.6855 4256.0 188
74.7015 2648.0 188
75.1080 2644.0 188
75.5145 2644.0 188
75.9210 2652.0 188
76.3275 2652.0 188
76.7340 2668.0 188
77.5305 2692.0 188
78.7500 5360.0 188
79.1400 5376.0 188
79.5465 5352.0 188
79.9530 5384.0 188
80.3540 5424.0 188
80.7605 5384.0 188
81.1670 5344.0 188
81.5625 5344.0 188
81.9635 5368.0 188
82.3700 5344.0 188
82.7765 5336.0 188
83.1830 5344.0 188
83.5895 5336.0 188
86.8085 5264.0 188
87.2150 5264.0 188
87.6215 5264.0 188
88.0280 5256.0 188
88.4180 5248.0 188
88.8245 5232.0 188
89.2310 5224.0 188
89.6375 5200.0 188
90.8405 5168.0 188
93.2629 3608.0 188
94.0759 5120.0 188
94.4824 5128.0 188
94.8889 5128.0 188
95.2789 5128.0 188
95.6854 5128.0 188
96.0919 5152.0 188
96.4984 5168.0 188
96.9049 5152.0 188
97.2949 5152.0 188
97.7014 5160.0 188
98.1079 5160.0 188
99.3274 5136.0 188
145.4810 7704.0 188
145.8875 7776.0 188
146.2775 7832.0 188
147.0905 4864.0 188
147.4805 4832.0 188
147.8870 4792.0 188
148.2935 4760.0 188
148.6835 4760.0 188
149.0900 4760.0 188
149.4965 4736.0 188
149.8865 4736.0 188
150.2930 4736.0 188
150.6995 4704.0 188
151.0895 4672.0 188
151.4960 4648.0 188
151.9025 4616.0 188
152.2925 4600.0 188
153.1055 4624.0 188
154.7150 6984.0 188
155.5115 7016.0 188
156.3080 7736.0 188
156.7145 7744.0 188
157.9175 7672.0 188
159.9170 7520.0 188
160.3235 7368.0 188
160.7300 7392.0 188
